transactionid,cashierid,transactiontime,totalamount,paymentmethod,status
203,2,2025-05-20 15:39:51,0.68,card,completed
204,3,2025-05-20 18:48:06,5.36,card,completed
205,1,2025-05-20 11:50:13,5.98,card,completed
206,4,2025-05-20 18:23:46,4.49,card,completed
207,1,2025-05-20 21:12:32,10.58,card,completed
208,2,2025-05-20 18:08:37,4.80,cash,completed
209,4,2025-05-20 15:15:27,16.90,card,completed
210,3,2025-05-20 15:45:42,5.49,card,completed
211,3,2025-05-20 19:40:32,21.91,applepay,completed
212,2,2025-05-20 15:19:31,5.38,card,completed
213,2,2025-05-20 19:44:07,9.94,applepay,completed
214,3,2025-05-20 14:55:48,21.56,card,completed
215,4,2025-05-20 13:20:28,5.38,card,completed
216,2,2025-05-20 13:16:28,5.31,card,completed
217,1,2025-05-20 18:33:51,0.00,cash,voided
218,3,2025-05-20 11:32:24,10.70,card,completed
219,4,2025-05-20 20:49:25,5.53,card,completed
220,1,2025-05-20 18:18:36,5.50,applepay,completed
221,3,2025-05-20 16:31:34,10.75,card,completed
222,3,2025-05-20 14:36:28,10.11,card,completed
223,4,2025-05-20 15:18:59,5.12,card,completed
224,4,2025-05-20 19:55:50,33.33,card,completed
225,1,2025-05-20 20:46:47,5.55,card,completed
226,1,2025-05-20 18:46:03,0.00,card,voided
227,2,2025-05-20 18:24:02,15.73,card,completed
228,2,2025-05-20 15:55:23,6.29,card,completed
229,3,2025-05-20 21:20:58,10.37,cash,completed
230,3,2025-05-20 14:34:33,15.94,card,completed
231,2,2025-05-20 14:33:04,5.32,card,completed
232,3,2025-05-20 15:48:38,11.16,cash,completed
233,4,2025-05-20 13:11:30,5.01,card,completed
234,4,2025-05-20 19:47:40,16.44,card,completed
235,1,2025-05-20 21:04:55,5.28,card,completed
236,4,2025-05-20 13:05:46,5.89,card,completed
237,3,2025-05-20 20:41:38,10.02,card,completed
238,1,2025-05-20 16:10:18,11.07,applepay,completed
239,1,2025-05-20 22:13:45,11.55,card,completed
240,4,2025-05-20 13:47:39,5.32,applepay,completed
241,3,2025-05-20 11:22:38,5.52,card,completed
242,4,2025-05-20 18:25:37,0.69,card,completed
243,2,2025-05-20 13:05:32,19.93,card,completed
244,1,2025-05-20 17:22:46,5.96,cash,completed
245,1,2025-05-20 22:47:58,5.36,applepay,completed
246,1,2025-05-20 21:47:35,5.57,card,completed
247,1,2025-05-20 18:25:33,6.23,card,completed
248,1,2025-05-20 16:07:28,15.55,card,completed
249,2,2025-05-20 13:25:04,15.44,card,completed
250,2,2025-05-20 22:38:35,16.58,card,completed
251,4,2025-05-20 19:48:18,5.56,card,completed
252,3,2025-05-20 11:49:44,6.13,cash,completed
253,4,2025-05-20 13:52:36,20.64,card,completed
254,1,2025-05-20 21:46:57,5.84,applepay,completed
255,2,2025-05-21 19:45:36,10.12,card,completed
256,4,2025-05-21 22:49:05,4.46,card,completed
257,2,2025-05-21 16:21:28,4.92,card,completed
258,1,2025-05-21 13:37:58,11.55,applepay,completed
259,4,2025-05-21 17:12:26,5.32,applepay,completed
260,3,2025-05-21 17:09:42,21.15,card,completed
261,4,2025-05-21 18:36:24,15.44,card,completed
262,4,2025-05-21 14:14:00,5.38,card,completed
263,1,2025-05-21 15:49:53,5.31,card,completed
264,4,2025-05-21 22:13:13,10.48,applepay,completed
265,2,2025-05-21 18:19:44,10.70,card,completed
266,4,2025-05-21 21:46:08,5.57,card,completed
267,4,2025-05-21 17:36:30,10.56,applepay,completed
268,1,2025-05-21 12:55:36,10.96,card,completed
269,1,2025-05-21 14:06:15,0.70,card,completed
270,4,2025-05-21 16:07:42,5.32,applepay,completed
271,4,2025-05-21 20:52:43,10.47,card,completed
272,2,2025-05-21 17:12:17,5.93,card,completed
273,2,2025-05-21 13:50:10,5.09,card,completed
274,4,2025-05-21 15:58:37,21.90,card,completed
275,4,2025-05-21 18:13:31,5.32,card,completed
276,2,2025-05-21 13:35:38,16.06,applepay,completed
277,3,2025-05-21 16:00:25,14.41,card,completed
278,4,2025-05-21 18:04:04,4.99,applepay,completed
279,1,2025-05-21 21:04:25,10.00,card,completed
280,2,2025-05-21 16:48:18,15.54,card,completed
281,2,2025-05-21 16:17:29,11.77,card,completed
282,3,2025-05-21 12:36:30,11.83,card,completed
283,3,2025-05-21 14:36:41,5.22,cash,completed
284,3,2025-05-21 22:45:18,10.33,card,completed
285,3,2025-05-21 21:56:16,11.40,card,completed
286,1,2025-05-21 15:07:41,10.38,card,completed
287,1,2025-05-21 13:57:33,10.08,card,completed
288,4,2025-05-21 13:20:03,6.02,card,completed
289,1,2025-05-21 16:36:05,9.38,applepay,completed
290,4,2025-05-21 13:58:21,5.29,card,completed
291,4,2025-05-21 17:12:26,5.10,card,completed
292,1,2025-05-21 15:46:56,11.32,card,completed
293,2,2025-05-21 16:31:46,9.55,applepay,completed
294,1,2025-05-21 13:40:11,15.38,applepay,completed
295,3,2025-05-21 14:36:18,10.69,card,completed
296,4,2025-05-21 18:13:20,4.59,card,completed
297,3,2025-05-21 16:16:40,10.59,card,completed
298,2,2025-05-21 18:58:54,5.94,card,completed
299,3,2025-05-21 18:39:14,16.82,applepay,completed
300,2,2025-05-21 15:07:36,5.48,card,completed
301,2,2025-05-21 19:29:13,10.25,card,completed
302,1,2025-05-21 16:47:26,27.97,card,completed
303,4,2025-05-21 20:07:31,10.85,card,completed
304,3,2025-05-21 17:02:37,10.36,card,completed
305,1,2025-05-21 18:41:32,5.55,card,completed
306,2,2025-05-21 19:19:49,5.32,card,completed
307,3,2025-05-21 18:31:18,10.94,card,completed
308,1,2025-05-21 16:21:24,26.68,card,completed
309,3,2025-05-21 12:08:44,5.29,card,completed
310,1,2025-05-21 15:03:16,10.39,card,completed
311,1,2025-05-21 16:48:22,5.09,card,completed
312,1,2025-05-21 16:30:33,5.04,applepay,completed
313,2,2025-05-21 14:27:09,5.32,card,completed
314,3,2025-05-21 12:50:09,4.75,applepay,completed
315,3,2025-05-21 14:33:15,25.94,card,completed
316,2,2025-05-21 13:47:56,6.59,applepay,completed
317,1,2025-05-21 20:35:36,4.78,card,completed
318,1,2025-05-21 20:47:06,5.39,card,completed
319,1,2025-05-21 12:40:39,5.39,card,completed
320,2,2025-05-21 22:13:56,22.38,card,completed
321,4,2025-05-21 13:27:19,5.48,card,completed
322,1,2025-05-21 16:14:04,16.21,card,completed
323,3,2025-05-21 16:57:35,6.40,card,completed
324,2,2025-05-21 18:55:18,9.93,card,completed
325,4,2025-05-21 18:15:15,5.49,card,completed
326,3,2025-05-21 18:49:22,6.01,cash,completed
327,2,2025-05-21 12:34:31,6.12,card,completed
328,2,2025-05-21 22:50:00,16.53,applepay,completed
329,4,2025-05-21 17:38:06,16.29,applepay,completed
330,2,2025-05-21 13:36:06,15.51,card,completed
331,2,2025-05-21 20:45:56,0.00,card,voided
332,2,2025-05-21 16:10:03,10.72,card,completed
333,2,2025-05-21 14:20:11,16.04,card,completed
334,1,2025-05-21 16:24:26,16.11,card,completed
335,2,2025-05-21 19:45:44,5.07,card,completed
336,4,2025-05-21 15:15:32,4.84,card,completed
337,4,2025-05-21 13:52:32,4.94,card,completed
338,2,2025-05-21 17:50:57,5.85,card,completed
339,4,2025-05-21 13:48:22,5.11,card,completed
340,2,2025-05-21 12:13:36,5.27,applepay,completed
341,2,2025-05-21 13:59:43,10.59,card,completed
342,2,2025-05-21 16:36:14,5.55,cash,completed
343,3,2025-05-21 17:45:07,6.72,card,completed
344,4,2025-05-21 18:58:35,22.29,card,completed
345,1,2025-05-21 12:22:51,5.28,card,completed
346,2,2025-05-21 15:40:21,10.12,card,completed
347,2,2025-05-21 18:21:40,10.43,card,completed
348,1,2025-05-21 13:58:57,5.22,applepay,completed
349,3,2025-05-21 16:34:47,10.17,card,completed
350,1,2025-05-21 16:57:03,10.25,applepay,completed
351,2,2025-05-21 22:43:45,5.88,applepay,completed
352,4,2025-05-21 18:51:16,5.51,applepay,completed
353,2,2025-05-21 17:38:20,11.24,card,completed
354,1,2025-05-21 12:17:13,9.06,card,completed
355,4,2025-05-21 19:36:17,11.64,card,completed
356,3,2025-05-21 12:19:17,6.47,card,completed
357,4,2025-05-21 20:37:37,5.44,card,completed
358,2,2025-05-21 12:50:58,5.44,card,completed
359,2,2025-05-21 12:30:26,12.00,card,completed
360,3,2025-05-21 15:18:47,10.90,card,completed
361,3,2025-05-21 20:00:18,16.57,applepay,completed
362,3,2025-05-21 16:51:34,22.38,cash,completed
363,4,2025-05-21 17:59:23,4.49,card,completed
364,3,2025-05-21 21:25:08,10.17,card,completed
365,4,2025-05-21 16:50:47,5.27,cash,completed
366,3,2025-05-21 13:25:48,22.59,applepay,completed
367,2,2025-05-21 11:47:39,15.00,card,completed
368,4,2025-05-21 15:34:27,16.19,card,completed
369,2,2025-05-21 16:30:15,5.91,card,completed
370,1,2025-05-21 11:46:41,16.50,cash,completed
371,1,2025-05-21 13:38:47,21.04,card,completed
372,3,2025-05-21 11:37:37,11.13,card,completed
373,1,2025-05-21 13:39:02,0.00,card,voided
374,3,2025-05-21 20:30:55,0.00,applepay,voided
375,4,2025-05-21 12:51:58,5.80,card,completed
376,4,2025-05-21 20:15:47,22.49,applepay,completed
377,3,2025-05-21 16:08:17,26.71,card,completed
378,3,2025-05-21 22:09:38,5.30,card,completed
379,2,2025-05-21 20:11:15,5.82,card,completed
380,4,2025-05-21 18:30:56,10.28,applepay,completed
381,2,2025-05-21 12:26:50,20.95,card,completed
382,4,2025-05-21 20:37:47,5.32,card,completed
383,2,2025-05-21 22:39:33,21.71,applepay,completed
384,3,2025-05-21 17:43:33,10.48,card,completed
385,1,2025-05-21 20:15:49,5.32,card,completed
386,3,2025-05-21 17:01:43,10.69,card,completed
387,2,2025-05-21 17:25:00,4.72,card,completed
388,3,2025-05-21 20:21:10,5.19,card,completed
389,2,2025-05-21 14:49:30,16.21,card,completed
390,3,2025-05-21 17:26:24,5.93,card,completed
391,4,2025-05-21 20:08:52,4.53,applepay,completed
392,2,2025-05-21 13:50:41,5.78,card,completed
393,4,2025-05-21 18:45:21,5.47,card,completed
394,3,2025-05-21 13:55:04,10.73,card,completed
395,4,2025-05-21 12:52:01,5.21,card,completed
396,1,2025-05-21 20:58:58,10.32,card,completed
397,2,2025-05-21 20:11:17,16.78,card,completed
398,2,2025-05-21 13:57:11,11.95,card,completed
399,3,2025-05-21 19:19:50,10.38,card,completed
400,3,2025-05-21 18:29:06,4.86,card,completed
401,3,2025-05-21 14:21:12,15.94,card,completed
402,1,2025-05-21 22:22:15,5.32,card,completed
403,3,2025-05-21 19:07:03,10.81,applepay,completed
404,4,2025-05-21 22:07:14,10.73,card,completed
405,2,2025-05-21 16:39:58,5.84,card,completed
406,3,2025-05-21 20:49:39,10.59,card,completed
407,4,2025-05-21 20:54:29,22.27,card,completed
408,1,2025-05-21 21:03:03,1.36,card,completed
409,3,2025-05-21 19:43:11,11.61,card,completed
410,4,2025-05-21 21:24:36,10.50,applepay,completed
411,2,2025-05-21 21:54:44,5.16,applepay,completed
412,1,2025-05-21 15:04:32,5.25,cash,completed
413,3,2025-05-21 11:50:20,16.04,card,completed
414,1,2025-05-21 19:23:48,11.27,applepay,completed
415,4,2025-05-21 19:23:18,5.17,card,completed
416,4,2025-05-21 19:32:12,5.37,cash,completed
417,4,2025-05-21 15:14:39,16.11,card,completed
418,4,2025-05-21 14:11:14,5.34,applepay,completed
419,1,2025-05-21 14:01:51,10.58,applepay,completed
420,3,2025-05-21 13:41:34,4.93,applepay,completed
421,1,2025-05-21 20:33:59,0.00,card,voided
422,4,2025-05-21 17:54:17,6.04,card,completed
423,4,2025-05-21 13:54:46,6.59,card,completed
424,3,2025-05-21 18:00:53,6.13,card,completed
425,2,2025-05-21 14:08:23,5.57,card,completed
426,4,2025-05-21 14:44:51,5.85,card,completed
427,3,2025-05-21 17:50:06,5.96,card,completed
428,2,2025-05-21 15:29:49,20.95,card,completed
429,1,2025-05-21 19:33:01,10.78,card,completed
430,3,2025-05-21 19:40:35,5.28,applepay,completed
431,4,2025-05-21 20:17:59,10.85,applepay,completed
432,4,2025-05-21 19:52:52,11.32,card,completed
433,2,2025-05-21 21:06:40,11.23,cash,completed
434,3,2025-05-21 13:33:28,5.12,card,completed
435,4,2025-05-21 21:18:18,5.26,applepay,completed
436,1,2025-05-21 19:51:03,6.22,card,completed
437,4,2025-05-21 19:38:09,15.68,card,completed
438,4,2025-05-21 15:51:57,5.29,card,completed
439,3,2025-05-21 13:20:27,14.52,card,completed
440,1,2025-05-21 17:40:58,4.75,applepay,completed
441,4,2025-05-21 16:34:14,5.71,applepay,completed
442,4,2025-05-21 17:50:55,5.27,card,completed
443,2,2025-05-21 21:50:37,9.99,card,completed
444,1,2025-05-21 18:24:21,10.01,card,completed
445,4,2025-05-21 11:28:05,5.71,card,completed
446,3,2025-05-21 11:47:36,15.57,card,completed
447,4,2025-05-21 11:38:59,21.05,card,completed
448,2,2025-05-21 21:16:17,6.07,card,completed
449,1,2025-05-21 12:13:54,5.19,card,completed
450,3,2025-05-21 21:55:08,5.95,card,completed
451,4,2025-05-21 13:59:08,11.26,card,completed
452,3,2025-05-21 13:57:59,9.47,card,completed
453,1,2025-05-21 17:41:26,6.16,card,completed
454,3,2025-05-21 17:33:01,15.81,applepay,completed
455,2,2025-05-21 20:22:40,11.60,card,completed
456,4,2025-05-21 19:24:50,10.71,applepay,completed
457,3,2025-05-21 17:23:54,26.79,card,completed
458,2,2025-05-21 13:02:03,15.76,card,completed
459,4,2025-05-21 12:03:47,10.30,card,completed
460,4,2025-05-21 16:40:23,5.27,cash,completed
461,4,2025-05-21 18:01:07,7.40,cash,completed
462,3,2025-05-21 17:42:10,16.90,card,completed
463,3,2025-05-21 16:00:40,4.84,card,completed
464,2,2025-05-21 19:13:59,5.52,card,completed
465,1,2025-05-21 19:33:32,10.40,card,completed
466,1,2025-05-21 20:30:23,5.96,card,completed
467,3,2025-05-21 18:28:58,5.12,applepay,completed
468,3,2025-05-21 16:56:34,0.00,cash,voided
469,3,2025-05-21 16:11:09,17.45,card,completed
470,4,2025-05-21 20:21:50,11.01,applepay,completed
471,3,2025-05-21 17:50:36,5.32,applepay,completed
472,1,2025-05-21 13:09:01,5.57,card,completed
473,1,2025-05-21 18:02:22,6.32,applepay,completed
474,4,2025-05-21 15:56:52,5.32,card,completed
475,4,2025-05-21 19:40:41,16.87,applepay,completed
476,3,2025-05-21 16:28:08,11.88,card,completed
477,1,2025-05-21 13:26:33,4.84,applepay,completed
478,1,2025-05-21 17:32:55,10.49,card,completed
479,4,2025-05-21 17:19:40,5.46,card,completed
480,4,2025-05-21 17:09:21,10.16,card,completed
481,2,2025-05-21 17:26:18,5.89,cash,completed
482,3,2025-05-21 19:10:59,16.24,card,completed
483,3,2025-05-21 16:08:16,15.43,card,completed
484,3,2025-05-21 13:54:58,5.44,card,completed
485,4,2025-05-21 13:19:57,5.41,applepay,completed
486,1,2025-05-21 15:39:49,6.10,applepay,completed
487,4,2025-05-21 18:42:47,16.10,card,completed
488,4,2025-05-21 15:33:35,11.12,card,completed
489,3,2025-05-21 22:11:48,20.42,applepay,completed
490,2,2025-05-21 15:06:05,5.32,applepay,completed
491,1,2025-05-21 14:21:01,5.32,card,completed
492,1,2025-05-21 22:19:39,16.29,card,completed
493,2,2025-05-21 14:02:39,20.45,card,completed
494,2,2025-05-21 16:05:57,5.38,card,completed
495,2,2025-05-21 13:55:22,5.99,card,completed
496,4,2025-05-21 12:41:05,5.23,card,completed
497,4,2025-05-21 17:12:31,5.30,card,completed
498,1,2025-05-21 14:20:53,21.34,applepay,completed
499,4,2025-05-21 16:29:08,11.90,cash,completed
500,4,2025-05-21 20:20:27,10.99,applepay,completed
501,1,2025-05-21 19:08:43,5.55,applepay,completed
502,1,2025-05-21 12:02:30,21.20,card,completed
503,1,2025-05-21 17:00:13,5.32,card,completed
504,2,2025-05-21 18:07:55,5.34,card,completed
505,1,2025-05-21 18:24:46,5.83,card,completed
506,1,2025-05-21 20:55:25,6.04,card,completed
507,4,2025-05-21 17:16:11,5.10,card,completed
508,1,2025-05-21 19:50:59,21.37,applepay,completed
509,4,2025-05-21 19:48:56,5.26,applepay,completed
510,4,2025-05-21 22:53:14,10.72,card,completed
511,4,2025-05-21 12:17:38,10.50,card,completed
512,2,2025-05-21 15:26:46,4.95,applepay,completed
513,3,2025-05-21 19:41:40,11.08,card,completed
514,2,2025-05-21 18:25:33,5.26,card,completed
515,2,2025-05-21 16:44:52,0.00,applepay,voided
516,2,2025-05-21 22:00:20,9.70,card,completed
517,4,2025-05-21 15:41:44,11.32,card,completed
518,4,2025-05-21 20:48:56,4.93,card,completed
519,1,2025-05-21 20:58:54,6.08,card,completed
520,1,2025-05-21 13:16:55,5.54,applepay,completed
521,3,2025-05-21 19:21:26,21.77,card,completed
522,4,2025-05-21 20:17:18,5.46,applepay,completed
523,4,2025-05-21 17:51:03,5.55,card,completed
524,2,2025-05-21 20:10:33,6.01,applepay,completed
525,2,2025-05-21 14:52:06,10.91,card,completed
526,1,2025-05-21 17:29:36,5.05,cash,completed
