transactionitemid,transactionid,productid,quantity,unitprice
399,214,4,2,5.86
400,215,9,1,5.38
401,216,15,1,5.31
402,218,14,1,5.49
403,218,12,1,5.22
404,219,5,1,5.53
405,220,5,1,5.50
406,221,2,1,5.37
407,221,2,1,5.38
408,222,9,1,5.28
409,222,1,1,4.83
410,223,9,1,5.12
411,224,12,1,5.09
412,224,4,2,5.74
413,224,2,2,5.47
414,224,9,1,5.13
415,224,16,1,0.70
416,225,5,1,5.55
417,227,9,1,5.11
418,227,15,1,5.22
419,227,5,1,5.40
420,228,16,1,0.69
421,228,1,1,4.94
422,228,16,1,0.67
423,229,6,1,4.93
424,229,2,1,5.44
425,230,10,1,5.10
426,230,1,1,5.07
427,230,1,1,5.09
428,230,16,1,0.68
429,231,2,1,5.32
430,232,13,1,5.85
431,232,5,1,5.32
432,233,1,1,5.01
433,234,3,2,5.51
434,234,3,1,5.42
435,235,2,1,5.28
436,236,15,1,5.20
437,236,16,1,0.70
438,237,10,1,5.18
439,237,1,1,4.84
440,238,12,1,5.21
441,238,9,1,5.17
442,238,16,1,0.69
443,239,14,1,5.52
444,239,4,1,6.03
445,240,3,1,5.32
446,241,6,1,4.83
447,241,16,1,0.70
448,242,16,1,0.69
449,243,8,2,4.82
450,243,15,1,5.19
451,243,1,1,5.11
452,244,4,1,5.96
453,245,11,1,5.36
454,246,5,1,5.57
455,247,2,1,5.55
456,247,16,1,0.68
457,248,1,1,5.00
458,248,12,1,5.22
459,248,15,1,5.32
460,249,2,1,5.28
461,249,1,1,4.83
462,249,6,1,4.66
463,249,16,1,0.67
464,250,13,1,5.89
465,250,9,1,5.29
466,250,5,1,5.40
467,251,2,1,5.56
468,252,2,1,5.45
469,252,16,1,0.68
470,253,1,1,4.92
471,253,2,1,5.41
472,253,1,1,4.96
473,253,14,1,5.34
474,254,11,1,5.16
475,254,16,1,0.68
476,255,5,1,5.32
477,255,6,1,4.80
478,256,7,1,4.46
479,257,1,1,4.92
480,258,2,1,5.56
481,258,16,1,0.67
482,258,3,1,5.32
483,259,14,1,5.32
484,260,5,1,5.44
485,260,1,1,4.84
486,260,2,1,5.53
487,260,15,1,5.33
488,261,10,1,5.22
489,261,1,1,4.89
490,261,12,1,5.33
491,262,2,1,5.38
492,263,2,1,5.31
493,264,1,1,5.11
494,264,5,1,5.37
495,265,2,1,5.33
496,265,2,1,5.37
497,266,3,1,5.57
498,267,2,2,5.28
499,268,9,1,5.35
500,268,1,1,4.93
501,268,16,1,0.68
502,269,16,1,0.70
503,270,10,1,5.32
504,271,5,1,5.58
505,271,8,1,4.89
506,272,12,1,5.25
507,272,16,1,0.68
508,273,9,1,5.09
509,274,3,1,5.43
510,274,3,1,5.29
511,274,15,1,5.39
512,274,4,1,5.79
513,275,9,1,5.32
514,276,1,1,4.90
515,276,11,2,5.25
516,276,16,1,0.66
517,277,7,1,4.40
518,277,5,1,5.57
519,277,7,1,4.44
520,278,1,1,4.99
521,279,1,2,5.00
522,280,12,2,5.10
523,280,11,1,5.34
524,281,4,1,5.78
525,281,4,1,5.99
526,282,1,2,4.89
527,282,16,2,0.69
528,282,16,1,0.67
529,283,12,1,5.22
530,284,1,1,4.91
531,284,6,1,4.74
532,284,16,1,0.68
533,285,14,1,5.50
534,285,4,1,5.90
535,286,13,1,5.86
536,286,7,1,4.52
537,287,9,1,5.21
538,287,8,1,4.87
539,288,4,1,6.02
540,289,8,2,4.69
541,290,5,1,5.29
542,291,12,1,5.10
543,292,4,1,6.02
544,292,12,1,5.30
545,293,8,1,4.75
546,293,6,1,4.80
547,294,9,1,5.30
548,294,1,2,5.04
549,295,3,2,5.34
550,296,7,1,4.59
551,297,9,2,5.30
552,298,4,1,5.94
553,299,4,1,5.81
554,299,12,2,5.17
555,299,16,1,0.66
556,300,6,1,4.81
557,300,16,1,0.67
558,301,12,2,5.13
559,302,3,1,5.51
560,302,2,1,5.53
561,302,9,1,5.32
562,302,4,2,5.80
563,303,2,1,5.49
564,303,5,1,5.36
565,304,10,1,5.10
566,304,12,1,5.26
567,305,3,1,5.55
568,306,15,1,5.32
569,307,3,1,5.48
570,307,14,1,5.46
571,308,7,1,4.46
572,308,2,2,5.40
573,308,2,1,5.44
574,308,13,1,5.98
575,309,10,1,5.29
576,310,10,1,5.31
577,310,1,1,5.08
578,311,9,1,5.09
579,312,1,1,5.04
580,313,15,1,5.32
581,314,6,1,4.75
582,315,9,1,5.17
583,315,10,2,5.18
584,315,12,2,5.21
585,316,13,1,5.92
586,316,16,1,0.67
587,317,8,1,4.78
588,318,14,1,5.39
589,319,5,1,5.39
590,320,15,1,5.32
591,320,4,1,5.87
592,320,15,1,5.37
593,320,15,1,5.14
594,320,16,1,0.67
595,321,8,1,4.80
596,321,16,1,0.68
597,322,9,2,5.32
598,322,1,1,4.90
599,322,16,1,0.66
600,323,4,1,5.74
601,323,16,1,0.66
602,324,2,1,5.50
603,324,7,1,4.44
604,325,5,1,5.49
605,326,3,1,5.32
606,326,16,1,0.70
607,327,5,1,5.43
608,327,16,1,0.69
609,328,3,1,5.40
610,328,14,2,5.57
611,329,2,2,5.47
612,329,3,1,5.35
613,330,10,2,5.33
614,330,1,1,4.84
615,332,14,1,5.53
616,332,9,1,5.19
617,333,13,1,5.97
618,333,6,1,4.91
619,333,12,1,5.16
620,334,14,1,5.57
621,334,13,1,5.86
622,334,6,1,4.68
623,335,1,1,5.07
624,336,6,1,4.84
625,337,1,1,4.94
626,338,11,1,5.15
627,338,16,1,0.70
628,339,10,1,5.11
629,340,9,1,5.27
630,341,10,1,5.24
631,341,10,1,5.35
632,342,3,1,5.55
633,343,16,2,0.69
634,343,5,1,5.34
635,344,10,1,5.17
636,344,4,2,5.89
637,344,12,1,5.35
638,345,2,1,5.28
639,346,8,1,4.92
640,346,7,1,4.54
641,346,16,1,0.67
642,347,10,2,5.22
643,348,10,1,5.22
644,349,14,1,5.41
645,349,6,1,4.75
646,350,15,1,5.31
647,350,1,1,4.94
648,351,4,1,5.88
649,352,14,1,5.51
650,353,14,1,5.51
651,353,4,1,5.73
652,354,7,1,4.54
653,354,7,1,4.52
654,355,5,1,5.54
655,355,14,1,5.41
656,355,16,1,0.68
657,356,4,1,5.79
658,356,16,1,0.68
659,357,14,1,5.44
660,358,14,1,5.44
661,359,15,1,5.37
662,359,4,1,5.95
663,359,16,1,0.68
664,360,14,2,5.45
665,361,2,1,5.31
666,361,14,1,5.33
667,361,7,1,4.55
668,361,16,1,0.70
669,361,16,1,0.69
670,362,13,2,5.98
671,362,11,1,5.11
672,362,11,1,5.32
673,363,7,1,4.49
674,364,1,1,5.05
675,364,15,1,5.12
676,365,2,1,5.27
677,366,1,1,4.92
678,366,13,2,5.96
679,366,15,1,5.10
680,366,16,1,0.66
681,367,1,2,4.84
682,367,3,1,5.33
683,368,4,1,5.78
684,368,9,1,5.24
685,368,11,1,5.17
686,369,4,1,5.91
687,370,3,1,5.30
688,370,10,1,5.27
689,370,12,1,5.27
690,370,16,1,0.66
691,371,3,1,5.26
692,371,10,1,5.10
693,371,5,1,5.32
694,371,12,1,5.36
695,372,4,1,5.82
696,372,3,1,5.31
697,375,4,1,5.80
698,376,12,1,5.32
699,376,14,1,5.27
700,376,4,1,5.89
701,376,3,1,5.32
702,376,16,1,0.68
703,377,1,2,4.99
704,377,11,1,5.21
705,377,2,1,5.43
706,377,3,1,5.40
707,377,16,1,0.70
708,378,11,1,5.30
709,379,10,1,5.13
710,379,16,1,0.70
711,380,4,1,5.71
712,380,7,1,4.56
713,381,2,1,5.33
714,381,9,1,5.14
715,381,2,1,5.28
716,381,10,1,5.20
717,382,2,1,5.32
718,383,10,1,5.15
719,383,2,1,5.46
720,383,4,1,6.02
721,383,1,1,5.08
722,384,10,1,5.17
723,384,5,1,5.31
724,385,12,1,5.32
725,386,10,1,5.39
726,386,3,1,5.30
727,387,6,1,4.72
728,388,15,1,5.19
729,389,5,2,5.44
730,389,11,1,5.32
731,390,10,1,5.25
732,390,16,1,0.68
733,391,7,1,4.53
734,392,13,1,5.78
735,393,3,1,5.47
736,394,10,1,5.34
737,394,14,1,5.39
738,395,15,1,5.21
739,396,10,2,5.16
740,397,2,2,5.37
741,397,4,1,6.04
742,398,13,2,5.98
743,399,15,2,5.19
744,400,1,1,4.86
745,401,10,1,5.20
746,401,12,2,5.37
747,402,2,1,5.32
748,403,1,1,4.86
749,403,10,1,5.27
750,403,16,1,0.68
751,404,4,1,5.85
752,404,6,1,4.88
753,405,11,1,5.15
754,405,16,1,0.69
755,406,9,1,5.34
756,406,10,1,5.24
757,407,2,2,5.43
758,407,15,1,5.24
759,407,2,1,5.46
760,407,16,1,0.70
761,408,16,1,0.68
762,408,16,1,0.68
763,409,13,2,5.80
764,410,12,1,5.13
765,410,9,1,5.37
766,411,15,1,5.16
767,412,9,1,5.25
768,413,13,1,5.80
769,413,2,1,5.56
770,413,6,1,4.68
771,414,12,2,5.31
772,414,16,1,0.66
773,415,12,1,5.17
774,416,12,1,5.37
775,417,2,1,5.32
776,417,14,1,5.35
777,417,2,1,5.44
778,418,5,1,5.34
779,419,10,1,5.32
780,419,12,1,5.25
781,420,1,1,4.93
782,422,5,1,5.37
783,422,16,1,0.67
784,423,15,1,5.26
785,423,16,1,0.66
786,423,16,1,0.67
787,424,6,1,4.79
788,424,16,2,0.67
789,425,2,1,5.57
790,426,13,1,5.85
791,427,2,1,5.28
792,427,16,1,0.68
793,428,5,1,5.51
794,428,6,1,4.80
795,428,10,1,5.30
796,428,9,1,5.35
797,429,3,1,5.48
798,429,14,1,5.30
799,430,3,1,5.28
800,431,11,1,5.36
801,431,6,1,4.81
802,431,16,1,0.68
803,432,5,1,5.51
804,432,15,1,5.13
805,432,16,1,0.68
806,433,5,2,5.27
807,433,16,1,0.69
808,434,15,1,5.12
809,435,9,1,5.26
810,436,14,1,5.52
811,436,16,1,0.70
812,437,10,1,5.11
813,437,14,1,5.45
814,437,15,1,5.13
815,438,9,1,5.29
816,439,8,1,4.75
817,439,6,2,4.88
818,440,6,1,4.75
819,441,13,1,5.71
820,442,5,1,5.27
821,443,12,1,5.20
822,443,6,1,4.79
823,444,6,1,4.71
824,444,12,1,5.30
825,445,13,1,5.71
826,446,1,2,5.05
827,446,3,1,5.46
828,447,2,1,5.41
829,447,9,2,5.31
830,447,1,1,5.03
831,448,5,1,5.38
832,448,16,1,0.69
833,449,15,1,5.19
834,450,4,1,5.95
835,451,3,1,5.40
836,451,4,1,5.86
837,452,6,2,4.74
838,453,16,1,0.66
839,453,6,1,4.83
840,453,16,1,0.67
841,454,5,1,5.28
842,454,14,1,5.41
843,454,1,1,5.12
844,455,4,1,5.81
845,455,4,1,5.79
846,456,14,1,5.32
847,456,11,1,5.39
848,457,2,1,5.31
849,457,6,1,4.80
850,457,4,2,5.79
851,457,12,1,5.12
852,458,14,1,5.56
853,458,1,1,4.84
854,458,11,1,5.37
855,459,1,1,4.84
856,459,3,1,5.45
857,460,12,1,5.27
858,461,2,1,5.32
859,461,16,2,0.70
860,461,16,1,0.69
861,462,4,2,5.89
862,462,1,1,5.11
863,463,1,1,4.84
864,464,1,1,4.83
865,464,16,1,0.70
866,465,11,1,5.13
867,465,10,1,5.28
868,466,13,1,5.96
869,467,1,1,5.12
870,469,4,2,5.99
871,469,5,1,5.48
872,470,2,2,5.51
873,471,2,1,5.32
874,472,8,1,4.87
875,472,16,1,0.70
876,473,1,1,4.96
877,473,16,2,0.68
878,474,5,1,5.32
879,475,14,2,5.48
880,475,13,1,5.91
881,476,16,2,0.69
882,476,5,1,5.32
883,476,9,1,5.19
884,477,1,1,4.84
885,478,12,1,5.37
886,478,1,1,5.12
887,479,2,1,5.46
888,480,15,1,5.40
889,480,8,1,4.76
890,481,12,1,5.19
891,481,16,1,0.70
892,482,12,1,5.10
893,482,11,1,5.37
894,482,11,1,5.11
895,482,16,1,0.66
896,483,11,1,5.30
897,483,5,1,5.27
898,483,6,1,4.86
899,484,2,1,5.44
900,485,2,1,5.41
901,486,5,1,5.41
902,486,16,1,0.70
903,487,2,2,5.50
904,487,9,1,5.11
905,488,15,1,5.14
906,488,14,1,5.29
907,488,16,1,0.69
908,489,7,2,4.54
909,489,3,2,5.33
910,489,16,1,0.68
911,490,3,1,5.32
912,491,14,1,5.32
913,492,2,1,5.43
914,492,11,2,5.09
915,492,16,1,0.68
916,493,8,1,4.76
917,493,10,1,5.13
918,493,3,1,5.40
919,493,9,1,5.15
920,494,3,1,5.38
921,495,13,1,5.99
922,496,12,1,5.23
923,497,2,1,5.30
924,498,2,2,5.45
925,498,11,1,5.32
926,498,11,1,5.12
927,499,13,2,5.95
928,500,3,1,5.44
929,500,5,1,5.55
930,501,5,1,5.55
931,502,1,1,4.98
932,502,3,1,5.58
933,502,1,1,5.07
934,502,14,1,5.57
935,503,15,1,5.32
936,504,10,1,5.34
937,505,9,1,5.17
938,505,16,1,0.66
939,506,4,1,6.04
940,507,11,1,5.10
941,508,3,1,5.36
942,508,15,1,5.13
943,508,10,1,5.32
944,508,14,1,5.56
945,509,12,1,5.26
946,510,5,2,5.36
947,511,11,1,5.38
948,511,12,1,5.13
949,512,1,1,4.95
950,513,5,1,5.51
951,513,2,1,5.58
952,514,10,1,5.26
953,516,6,1,4.66
954,516,1,1,5.03
955,517,4,1,5.89
956,517,2,1,5.43
957,518,1,1,4.93
958,519,2,1,5.39
959,519,16,1,0.69
960,520,5,1,5.54
961,521,3,2,5.53
962,521,2,2,5.35
963,522,3,1,5.46
964,523,2,1,5.55
965,524,9,1,5.35
966,524,16,1,0.66
967,525,5,1,5.36
968,525,2,1,5.55
969,526,1,1,5.05
970,527,11,1,5.13
971,528,2,1,5.51
972,528,16,1,0.67
973,529,6,1,4.81
974,530,14,1,5.59
975,530,15,1,5.21
976,531,15,1,5.35
977,532,1,1,4.85
978,534,15,2,5.23
979,535,10,2,5.34
980,536,3,1,5.46
981,537,2,1,5.55
982,537,1,1,4.94
983,537,9,1,5.11
984,537,16,1,0.69
985,538,16,1,0.67
986,538,3,1,5.50
987,538,16,1,0.67
988,539,4,1,5.70
989,539,16,1,0.67
990,540,1,1,5.06
991,540,16,1,0.66
992,541,15,1,5.26
993,541,1,1,5.07
994,542,10,1,5.25
995,542,12,1,5.34
996,542,3,1,5.50
997,543,16,1,0.69
998,543,14,1,5.32
999,543,16,1,0.67
1000,543,4,1,5.89
1001,544,1,1,4.90
1002,545,10,1,5.39
1003,545,4,1,5.99
1004,545,2,1,5.35
1005,545,14,1,5.39
1006,546,10,1,5.28
1007,547,9,1,5.31
1008,547,9,1,5.32
1009,548,10,1,5.33
1010,549,12,2,5.11
1011,550,3,1,5.39
1012,551,9,2,5.23
1013,551,16,1,0.69
1014,552,11,1,5.40
1015,553,10,1,5.38
1016,553,15,1,5.38
1017,554,6,1,4.88
1018,554,6,1,4.89
1019,555,5,1,5.48
1020,555,15,1,5.36
1021,556,14,1,5.55
1022,556,16,1,0.67
1023,557,12,1,5.25
1024,558,14,2,5.44
1025,559,2,1,5.47
1026,559,15,2,5.33
1027,560,10,1,5.16
1028,560,16,1,0.67
1029,561,14,1,5.28
1030,563,2,1,5.26
1031,563,15,1,5.28
1032,563,16,1,0.67
1033,564,5,1,5.46
1034,565,6,1,4.92
1035,565,4,2,5.79
1036,565,2,1,5.54
1037,565,16,1,0.67
1038,566,3,1,5.44
1039,566,13,1,5.70
1040,566,2,2,5.36
1041,566,16,1,0.69
1042,567,7,1,4.55
1043,568,4,1,6.02
1044,569,1,1,5.09
1045,570,5,2,5.51
1046,570,1,1,4.99
1047,571,3,1,5.48
1048,572,13,1,5.95
1049,572,1,1,4.92
1050,572,14,1,5.35
1051,573,7,1,4.55
1052,573,13,2,5.89
1053,573,7,2,4.61
1054,574,1,1,4.91
1055,574,16,2,0.66
1056,574,2,1,5.33
1057,575,4,1,5.95
1058,575,11,1,5.13
1059,575,12,1,5.14
1060,576,7,1,4.52
1061,577,9,1,5.16
1062,578,9,1,5.12
1063,578,9,1,5.32
1064,578,5,1,5.28
1065,579,15,1,5.17
1066,579,16,1,0.70
1067,580,2,1,5.30
1068,581,3,1,5.43
1069,581,14,1,5.48
1070,582,2,1,5.43
1071,582,12,1,5.15
1072,583,5,1,5.36
1073,583,5,1,5.27
1074,583,2,1,5.27
1075,583,9,1,5.14
1076,583,16,1,0.69
1077,584,5,1,5.30
1078,585,2,1,5.30
1079,585,2,1,5.58
1080,585,11,1,5.25
1081,586,13,1,5.76
1082,587,2,1,5.39
1083,588,10,1,5.13
1084,589,12,1,5.14
1085,590,2,1,5.52
1086,590,16,1,0.69
1087,591,2,1,5.39
1088,592,5,1,5.48
1089,593,4,1,5.70
1090,593,16,1,0.66
1091,594,1,1,5.06
1092,594,13,1,5.94
1093,594,16,1,0.69
1094,595,6,1,4.77
1095,596,8,1,4.75
1096,596,9,1,5.18
1097,596,1,1,5.11
1098,597,10,1,5.33
1099,598,4,2,5.72
1100,598,8,1,4.84
1101,599,5,1,5.40
1102,599,15,1,5.13
1103,599,16,1,0.67
1104,600,5,1,5.50
1105,600,4,2,5.87
1106,601,4,2,5.98
1107,601,9,1,5.31
1108,602,6,1,4.78
1109,602,15,1,5.31
1110,602,1,1,4.84
1111,602,16,1,0.69
1112,603,11,1,5.25
1113,603,3,2,5.58
1114,604,7,1,4.55
1115,604,9,1,5.30
1116,605,2,1,5.45
1117,605,1,1,4.97
1118,606,13,1,5.88
1119,606,5,1,5.58
1120,606,10,1,5.18
1121,607,11,1,5.17
1122,607,13,1,5.99
1123,608,3,1,5.49
1124,609,11,2,5.12
1125,609,2,1,5.54
1126,609,8,1,4.70
1127,609,12,2,5.16
1128,609,16,1,0.69
1129,610,12,1,5.25
1130,610,4,1,5.71
1131,611,12,1,5.18
1132,611,16,1,0.70
1133,612,4,1,5.85
1134,613,6,1,4.73
1135,614,12,1,5.31
1136,614,5,1,5.26
1137,614,7,1,4.57
1138,614,16,1,0.66
1139,615,2,1,5.49
1140,616,6,1,4.74
1141,617,14,1,5.41
1142,617,2,1,5.46
1143,618,15,1,5.34
1144,619,2,1,5.53
1145,619,4,1,5.99
1146,620,1,1,4.96
1147,620,7,1,4.64
1148,621,7,1,4.55
1149,622,2,1,5.46
1150,622,9,1,5.32
1151,622,2,1,5.30
1152,623,12,1,5.22
1153,623,4,1,5.73
